"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Ativo","Ativo"
"Carriers","Carriers"
"Comentário","Comentário"
"Comment","Comment"
"Comprimento exterior em centímetros","Comprimento exterior em centímetros"
"Comprimento interno em centímetros","Comprimento interno em centímetros"
"Correios","Correios"
"Create New Packing","Create New Packing"
"Delete Packing","Delete Packing"
"Edit Packing '%1'","Edit Packing '%1'"
"EmptyWeight","EmptyWeight"
"Enabled","Enabled"
"ID","ID"
"Image","Image"
"Imagem","Imagem"
"Informe a descrição da embalagem","Informe a descrição da embalagem"
"InnerDepth","InnerDepth"
"InnerLength","InnerLength"
"InnerWidth","InnerWidth"
"Jadlog","Jadlog"
"Jamef","Jamef"
"Largura exterior em centímetros","Largura exterior em centímetros"
"Largura interna em centímetros","Largura interna em centímetros"
"MaxWeight","MaxWeight"
"New Packing","New Packing"
"OuterDepth","OuterDepth"
"OuterLength","OuterLength"
"OuterWidth","OuterWidth"
"Packing %1","Packing %1"
"Packing Information","Packing Information"
"Packing to delete was not found.","Packing to delete was not found."
"Packing","Packing"
"Packings","Packings"
"Peso máximo","Peso máximo"
"Peso vazio","Peso vazio"
"Please Select Packings.","Please Select Packings."
"Preço","Preço"
"Price","Price"
"Altura exterior em centímetros","Altura exterior em centímetros"
"Altura interior em centímetros","Altura interior em centímetros"
"Reference","Reference"
"Save Packing","Save Packing"
"Save and Continue Edit","Save and Continue Edit"
"Selecione o método de entrega que está relacionado a embalagem, a não seleção deve atender todos os métodos de entrega","Selecione o método de entrega que está relacionado a embalagem, a não seleção deve atender todos os métodos de entrega"
"Something went wrong while saving the Packing.","Something went wrong while saving the Packing."
"The Packing has been deleted.","The Packing has been deleted."
"The Packing has been saved.","The Packing has been saved."
"This Packing no longer exists.","This Packing no longer exists."
