"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Ativo","Ativo"
"Comentário","Comentário"
"Comment","Comentário"
"Comprimento exterior em milímetro","Comprimento exterior em milímetro"
"Comprimento interno em milímetro","Comprimento interno em milímetro"
"Correios","Correios"
"Create New Packing","Criar nova embalagem"
"Delete Packing","Delete Packing"
"Edit Packing '%1'","Edit Packing '%1'"
"EmptyWeight","EmptyWeight"
"Enabled","Enabled"
"Carriers","Método de entrega"
"ID","ID"
"Image","Image"
"Imagem","Imagem"
"Informe a descrição da embalagem","Informe a descrição da embalagem"
"InnerDepth", "Altura Interior"
"InnerLength", "Comprimento Interior"
"InnerWidth", "Largura Interior"
"Jadlog","Jadlog"
"Jamef","Jamef"
"Largura exterior em milímetro","Largura exterior em milímetro"
"Llargura interna em milímetro","Llargura interna em milímetro"
"MaxWeight","Peso máximo suportado para a embalagem"
"New Packing","Nova embalagem"
"OuterDepth", "Altura exterior"
"OuterLength", "Comprimento exterior"
"OuterWidth", "Largura exterior"
"Packing %1","Packing %1"
"Packing Information","Informação da Embalagem"
"Packing to delete was not found.","Packing to delete was not found."
"Packing","Embalagem"
"Packings","Embalagens"
"Peso máximo","Peso máximo"
"Peso vazio","Peso vazio"
"Please Select Packings.","Por favor selecione as embalagem."
"Preço","Preço"
"Price","Preço"
"Altura exterior em milímetro","Altura exterior em milímetro"
"Altura interior em milímetro","Altura interior em milímetro"
"Reference","Reference"
"Save Packing","Salvar embalagem"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Packing.","Something went wrong while saving the Packing."
"The Packing has been deleted.","The Packing has been deleted."
"The Packing has been saved.","The Packing has been saved."
"This Packing no longer exists.","This Packing no longer exists."
"Manage Box/Packer","Gerenciar Caixa/Embalagem"
"Reference","Descrição"
"Enabled","Ativar"
"Add New Packing","Adicionar nova embalagem"
"EmptyWeight","Peso vazio"
"MaxWeight","Peso máximo"
"Image","Imagem"
